property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price,floor_number
2 BHK  House for Sale in Karmala Surat,Carpet Area,874.0,Resale,Ready to Move,1 out of 1,Unfurnished,Unknown,4691.5,30.0,1.0
1 BHK Apartment for Sale in Varacha Surat,Carpet Area,600.0,Resale,Ready to Move,3 out of 4,Semi-Furnished,Main Road,4691.5,14.0,3.0
"2 BHK Apartment for Sale in Madhav Residency, Adajan Surat",Carpet Area,1000.0,Resale,Ready to Move,3 out of 5,Unfurnished,Madhav Residency,2796.0,35.0,3.0
1 BHK Builder Floor for Sale in Kadodar Surat,Super Area,494.0,Resale,Ready to Move,3 out of 5,Unfurnished,Unknown,1923.0,9.5,3.0
2 BHK Villa for Sale in Vkhome near madav residency tatithiya gam kadodra2 Surat Surat,Carpet Area,648.0,1,Ready to Move,Unfurnished,Unknown,Unknown,4691.5,24.0,5.0
"2 BHK Apartment for Sale in Rajhans Gold Residency, Jahangir Pura Surat",Super Area,1175.0,Resale,Ready to Move,3 out of 5,Unfurnished,North - West,3234.0,38.0,3.0
2 BHK  House for Sale in Dindoli Surat,Super Area,726.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,5510.0,40.0,1.0
  Shop for Sale in Jahangir Pura Surat,Carpet Area,126.0,Resale,Ready to Move,Ground out of 2,Unknown,Unknown,14602.0,33.0,2.0
"1 BHK Apartment for Sale in Shiv Drashti Residency, Sachin Surat",Carpet Area,302.0,Resale,Ready to Move,5 out of 5,Unfurnished,Shiv Drashti Residency,4691.5,13.0,5.0
2 BHK Apartment for Sale in SK Apt Patel Colony Surat,Super Area,1200.0,Resale,Ready to Move,2 out of 3,Semi-Furnished,Unknown,2500.0,30.0,2.0
"2 BHK  House for Sale in Gruham Luxuria, Masma Village Surat",Super Area,106.0,Resale,Ready to Move,Ground out of 2,Semi-Furnished,Gruham Luxuria,3774.0,36.0,2.0
"2 BHK Apartment for Sale in SHANKHESHWER COMPLAX, Kailash Nagar Surat",Super Area,975.0,Resale,Ready to Move,1 out of 1,Unfurnished,SHANKHESHWER COMPLAX,2554.0,24.9,1.0
  Plot/Land for Sale in Tarsadi Surat,Plot Area,1378.0,Unknown,Resale,Yes,Unknown,Unknown,798.0,11.0,5.0
2 BHK  House for Sale in Sachin Surat,Carpet Area,800.0,Unfurnished,Ready to Move,Resale,East,"Garden/Park, Main Road",4691.5,29.0,5.0
"2 BHK Apartment for Sale in Shagun Avenue, Parvat Patiya Surat",Super Area,1155.0,Resale,Ready to Move,6 out of 13,Unfurnished,West,3500.0,40.4,6.0
  Shop for Sale in Hirabag Surat,Super Area,110.0,Resale,Ready to Move,1 out of 3,Unknown,Unknown,13864.0,15.3,1.0
"2 BHK Apartment for Sale in sarjan residency, katargam Surat",Super Area,1050.0,Resale,Ready to Move,2 out of 5,Furnished,Unknown,3714.0,39.0,2.0
1 BHK  House for Sale in Bardoli Surat,Super Area,650.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,3385.0,22.0,1.0
"2 BHK Apartment for Sale in Ambica Arihant Heights, Palan Pur Patiya Surat",Carpet Area,600.0,Resale,Ready to Move,8 out of 12,Semi-Furnished,South - East,3611.0,42.0,8.0
2 BHK  House for Sale in Shubham Row House Surat,Carpet Area,864.0,Unfurnished,Ready to Move,Resale,Unknown,Unknown,4691.5,26.0,5.0
  Shop for Sale in Kadodar Surat,Carpet Area,330.0,Resale,Ready to Move,Ground out of 4,Unknown,Unknown,5833.0,35.0,4.0
"  Office Space for Sale in Happy Hallmark, Vesu Surat",Super Area,256.0,Resale,Ready to Move,1 out of 5,Unknown,Unknown,7813.0,20.0,1.0
  Office Space for Sale in Vesu Surat,Carpet Area,342.0,New Property,Ready to Move,6 out of 10,Unknown,Unknown,7692.0,50.0,6.0
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,950.0,Resale,Ready to Move,2 out of 5,Semi-Furnished,Unknown,2800.0,28.0,2.0
"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",Super Area,1176.0,Resale,Ready to Move,8 out of 13,Unfurnished,JT Stuti Highland,3571.0,42.0,8.0
3 BHK  House for Sale in Olpad Surat,Super Area,160.0,Semi-Furnished,Ready to Move,Resale,3,Unknown,3472.0,50.0,5.0
"2 BHK Apartment for Sale in Times Galaxy, Dahin Nagar Surat",Super Area,1155.0,Resale,Ready to Move,9 out of 13,Semi-Furnished,Times Galaxy,3896.0,45.0,9.0
  Office Space for Sale in Nanpura Surat,Super Area,780.0,Resale,Ready to Move,4 out of 5,Unknown,Unknown,6026.0,47.0,4.0
  Plot/Land for Sale in Gopi Pura Surat,Plot Area,431.0,Resale,12 X 35.92,Freehold,Unknown,100 m,6961.0,30.0,5.0
2 BHK Builder Floor for Sale in Kadodara Surat,Super Area,600.0,Resale,Ready to Move,5 out of 6,Unfurnished,Unknown,3833.0,23.0,5.0
2 BHK Apartment for Sale in Saroli Surat,Super Area,1284.0,Resale,Ready to Move,2 out of 13,Semi-Furnished,Unknown,2336.0,30.0,2.0
2 BHK Apartment for Sale in Nilkanth Park society Surat,Super Area,1083.0,Furnished,5 out of 5,Resale,Unknown,Unknown,3509.0,38.0,5.0
2 BHK Apartment for Sale in Kailash Nagar Surat,Super Area,1200.0,Resale,Ready to Move,4 out of 10,Furnished,Unknown,3500.0,42.0,4.0
2 BHK Apartment for Sale in Suryam Sky Palanpor Surat,Carpet Area,1000.0,Resale,Ready to Move,5 out of 5,Unfurnished,Unknown,3525.0,43.0,5.0
2 BHK  House for Sale in AMBIKA ROW HOUSE Surat,Carpet Area,1200.0,Unfurnished,Ready to Move,Resale,Unknown,Unknown,4691.5,38.0,5.0
1 BHK Apartment for Sale in Morabhagal Surat,Status,1251.0,Unfurnished,13 out of 14,Resale,Unknown,Unknown,4691.5,15.0,5.0
"2 BHK Apartment for Sale in 3K Prime Shyam Enclave, Jahangir Pura Surat",Carpet Area,958.0,Resale,Ready to Move,6 out of 14,Furnished,"Garden/Park, Main Road",3736.0,47.0,6.0
2 BHK Apartment for Sale in Jay Mahakali Krupa Apartment Surat,Carpet Area,700.0,Resale,Ready to Move,4 out of 5,Unfurnished,East,3684.0,35.0,4.0
2 BHK Apartment for Sale in Surat,Carpet Area,1085.0,Resale,Ready to Move,Lower Basement out of 59,Unfurnished,Unknown,4691.5,29.0,59.0
"2 BHK Apartment for Sale in Savani Prayosha Pride, Dindoli Surat",Carpet Area,980.0,Resale,Ready to Move,2 out of 7,Unfurnished,Savani Prayosha Pride,4691.5,28.0,2.0
1 BHK Builder Floor for Sale in Kadodara Surat,Super Area,622.0,Resale,Ready to Move,2 out of 5,Unfurnished,Unknown,2251.0,14.0,2.0
  Plot/Land for Sale in Gangadhara Surat,Plot Area,420.0,No,Resale,1,Unknown,Unknown,1667.0,7.0,1.0
1 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,485.0,Resale,Ready to Move,2 out of 5,Unfurnished,Unknown,4124.0,20.0,2.0
"2 BHK  House for Sale in Nilkanth Seven Homes, Dindoli Surat",Carpet Area,468.0,Semi-Furnished,Ready to Move,Resale,Nilkanth Seven Homes,Unknown,7130.0,33.5,5.0
3 BHK  House for Sale in Ishanpur Masma Surat,Super Area,1250.0,New Property,Ready to Move,Ground out of 2,Unfurnished,North - East,2600.0,32.5,2.0
  Land for Sale in Shyam plaza - surat bardoli road kadodara Surat,Built Area,600.0,Unknown,Resale,Unknown,Unknown,Unknown,6667.0,40.0,5.0
1 BHK  House for Sale in Udhana Darwaja Surat,Carpet Area,350.0,Unfurnished,Ready to Move,Resale,Unknown,Unknown,2000.0,10.0,5.0
  Office Space for Sale in Yoginagar Society Surat,Super Area,240.0,Resale,Ready to Move,Ground out of 5,Unknown,Unknown,12500.0,30.0,5.0
3 BHK  House for Sale in Hare krishna Surat,Carpet Area,506.0,Unfurnished,Ready to Move,Resale,3,Unknown,1383.0,14.0,5.0
"2 BHK Apartment for Sale in Shayona Janki Residency, Jahangirabad Surat",Carpet Area,915.0,Resale,Ready to Move,2 out of 5,Furnished,Shayona Janki Residency,5355.0,49.0,2.0
  Shop for Sale in asian textile market Surat,Carpet Area,115.0,Resale,Ready to Move,2 out of 4,Unknown,Unknown,15652.0,18.0,2.0
  Land for Sale in Udhog nagar navagam Surat,Built Area,95000.0,Unknown,Resale,Unknown,Unknown,Unknown,1.0,1.0,5.0
  Shop for Sale in Gopi Pura Surat,Super Area,168.0,Resale,Ready to Move,Ground out of 6,Unknown,Unknown,11012.0,18.5,6.0
2 BHK  House for Sale in Sachin GIDC Surat,Super Area,480.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,3333.0,16.0,1.0
3 BHK Penthouse for Sale in Lajpur Surat,Super Area,1600.0,Resale,Ready to Move,3 out of 3,Furnished,North,2812.0,45.0,3.0
2 BHK Builder Floor for Sale in Near Arya Club Tena Village Surat,Carpet Area,500.0,New Property,Ready to Move,5 out of 5,Unfurnished,North,2373.0,18.5,5.0
1 BHK  House for Sale in Olpad Surat,Super Area,300.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,9667.0,29.0,1.0
1 BHK Builder Floor for Sale in Sayan Surat,Super Area,800.0,Resale,Ready to Move,3 out of 5,Unfurnished,Unknown,1688.0,13.5,3.0
"  Shop for Sale in Vaibhavlaxmi Shopping Mall, Bhestan Surat",Carpet Area,200.0,Resale,Ready to Move,1 out of 4,Unknown,Unknown,20000.0,40.0,1.0
1 BHK  House for Sale in Olpad Surat,Super Area,500.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,3200.0,16.0,1.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1100.0,Resale,Ready to Move,4 out of 5,Furnished,Unknown,3455.0,38.0,4.0
"3 BHK Apartment for Sale in Sundaram Residency, Bhestan Surat",Carpet Area,1515.0,Resale,Ready to Move,2 out of 5,Semi-Furnished,Sundaram Residency,4691.5,45.0,2.0
  Office Space for Sale in Punagam Surat,Super Area,340.0,Resale,Ready to Move,1 out of 5,Unknown,Unknown,10294.0,35.0,1.0
2 BHK  House for Sale in Kamrej Surat,Super Area,520.0,Resale,Ready to Move,Ground out of 2,Semi-Furnished,East,5962.0,31.0,2.0
"  Office Space for Sale in Soham Arcade, Pal Surat",Carpet Area,190.0,Resale,Ready to Move,2 out of 4,Unknown,Unknown,6579.0,25.0,2.0
  Shop for Sale in Sachin Surat,Carpet Area,200.0,Resale,Ready to Move,Ground out of 1,Unknown,Unknown,15000.0,30.0,1.0
"  Shop for Sale in Gruham Plaza, Amroli Surat",Carpet Area,200.0,Resale,Ready to Move,5 out of 5,Unknown,Unknown,3429.0,12.0,5.0
2 BHK Apartment for Sale in Amroli Surat,Carpet Area,700.0,New Property,Ready to Move,4 out of 5,Furnished,East,3512.0,36.0,4.0
  Plot/Land for Sale in Palsana Surat,Plot Area,2763.0,Congo,Freehold,Resale,Unknown,6 m,1430.0,39.5,5.0
1 BHK Apartment for Sale in Kailash Nagar Surat,Carpet Area,786.0,Resale,Ready to Move,6 out of 11,Furnished,South,3562.0,28.0,6.0
  Plot/Land for Sale in Kosamba Surat,Plot Area,2520.0,2,Resale,1,No,Unknown,714.0,18.0,1.0
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Carpet Area,713.0,Resale,Ready to Move,4 out of 15,Unfurnished,North - East,3498.0,43.8,4.0
2 BHK Apartment for Sale in sajavat pales Surat,Carpet Area,833.0,Resale,Ready to Move,4 out of 4,Unfurnished,Unknown,2401.0,20.0,4.0
2 BHK Apartment for Sale in Parvat Patia Surat,Super Area,1000.0,Resale,Ready to Move,4 out of 6,Unfurnished,Unknown,3500.0,35.0,4.0
1 BHK Builder Floor for Sale in Katar Gam Surat,Super Area,737.0,Resale,Ready to Move,3 out of 4,Semi-Furnished,Unknown,2035.0,15.0,3.0
3 BHK Apartment for Sale in Mota Varachha Surat,Super Area,1700.0,Resale,Ready to Move,10 out of 14,Unfurnished,3,441.0,7.5,10.0
3 BHK Villa for Sale in Rushi nagar society Godadar Surat,Carpet Area,1100.0,2,Ready to Move,Semi-Furnished,Unknown,Unknown,4691.5,25.0,5.0
  Shop for Sale in Amroli Surat,Carpet Area,245.0,Resale,Ready to Move,1 out of 4,Unknown,Unknown,7042.0,25.0,1.0
"1 BHK Apartment for Sale in Madhuram Arcade 2, Dindoli Surat",Carpet Area,350.0,Resale,Ready to Move,1 out of 5,Unfurnished,Main Road,2618.0,14.4,1.0
2 BHK Apartment for Sale in Ganesh Residency Amroli Ganeshpura Surat,Carpet Area,600.0,Resale,Ready to Move,11 out of 13,Furnished,Unknown,3796.0,30.0,11.0
2 BHK  House for Sale in Kawas Surat,Super Area,1350.0,Resale,Ready to Move,1 out of 2,Unfurnished,North,2815.0,38.0,1.0
  Plot/Land for Sale in Masma Village Surat,Plot Area,102.0,Resale,7.29 X 14,Freehold,Unknown,Unknown,19608.0,20.0,5.0
  Shop for Sale in Udhna Surat,Carpet Area,615.0,Resale,Ready to Move,Lower Basement out of 4,Unknown,Unknown,5691.0,35.0,4.0
  Office Space for Sale in Jahangir Pura Surat,Super Area,392.0,Resale,Ready to Move,1 out of 4,Unknown,Unknown,6633.0,26.0,1.0
1 BHK Builder Floor for Sale in Adajan Surat,Super Area,812.0,Resale,Ready to Move,2 out of 4,Furnished,Unknown,2217.0,18.0,2.0
  Plot/Land for Sale in Amroli Surat,Plot Area,576.0,2,Co-operative Society,Resale,Unknown,No,7812.0,45.0,5.0
2 BHK Apartment for Sale in Udhana Surat,Carpet Area,850.0,Resale,Ready to Move,4 out of 4,Furnished,Unknown,3500.0,35.0,4.0
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1180.0,Resale,Ready to Move,5 out of 5,Unfurnished,East,2415.0,28.5,5.0
2 BHK  House for Sale in Olpad Surat,Super Area,900.0,Resale,Ready to Move,Ground out of 1,Unfurnished,"Garden/Park, Main Road",3001.0,27.0,1.0
2 BHK Apartment for Sale in Amarview Surat,Super Area,925.0,Resale,Ready to Move,7 out of 12,Furnished,Unknown,4324.0,40.0,7.0
2 BHK Apartment for Sale in Vaidhai hites Surat,Carpet Area,850.0,Resale,Ready to Move,Upper Basement out of 12,Unfurnished,Unknown,3529.0,30.0,12.0
5 BHK  House for Sale in Sarsana Surat,Super Area,1235.0,Resale,Ready to Move,Ground out of 1,Semi-Furnished,East,4049.0,50.0,1.0
1 BHK Apartment for Sale in Suman Vihar Surat,Carpet Area,385.0,Resale,Ready to Move,8 out of 8,Unfurnished,East,3556.0,16.0,8.0
  Office Space for Sale in Nanpura Surat,Carpet Area,150.0,Resale,Ready to Move,3 out of 3,Unknown,Unknown,6000.0,15.0,3.0
2 BHK  House for Sale in Kim Surat,Super Area,2600.0,Resale,Ready to Move,Upper Basement out of 1,Furnished,Unknown,731.0,19.0,1.0
"2 BHK  House for Sale in Shivdhara Residency, VIP Road Surat",Carpet Area,324.0,Unfurnished,Ready to Move,Resale,East,"Garden/Park, Main Road",2778.0,18.0,5.0
2 BHK Builder Floor for Sale in Alkapuri Surat,Super Area,850.0,Resale,Ready to Move,4 out of 5,Unfurnished,Unknown,2000.0,17.0,4.0
  Shop for Sale in Nava Nagar Udhana Yard Surat Surat,Super Area,17.0,Resale,Ready to Move,Ground out of 3,Unknown,Unknown,9836.0,18.0,3.0
2 BHK Builder Floor for Sale in Ram Pura Surat,Super Area,800.0,Resale,Ready to Move,2 out of 5,Unfurnished,Unknown,2500.0,20.0,2.0
1 BHK  House for Sale in Sayan Surat,Super Area,48.0,Resale,Ready to Move,Ground out of 1,Unfurnished,"Garden/Park, Main Road",3472.0,15.0,1.0
"1 BHK Apartment for Sale in Silicon Palm, Silicon Palm, dindoli, Surat Surat",Super Area,801.0,Resale,Ready to Move,10 out of 10,Semi-Furnished,Silicon Palm,2559.0,20.5,10.0
"2 BHK Apartment for Sale in Aagam Navkar, Sachin Surat",Super Area,570.0,Unfurnished,4 out of 5,Resale,Aagam Navkar,Unknown,3509.0,20.0,5.0
2 BHK Apartment for Sale in Rander Road Surat,Carpet Area,876.0,Resale,Ready to Move,4 out of 4,Semi-Furnished,"Garden/Park, Main Road",2964.0,30.0,4.0
2 BHK Builder Floor for Sale in Citylight Area Surat,Super Area,950.0,Resale,Ready to Move,2 out of 4,Furnished,1 Open,4211.0,40.0,2.0
1 BHK Apartment for Sale in Subhash Nagar Surat,Carpet Area,575.0,Resale,Ready to Move,3 out of 4,Semi-Furnished,North - West,3833.0,23.0,3.0
"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",Carpet Area,1276.0,Resale,Ready to Move,10 out of 13,Unfurnished,West,2978.0,38.0,10.0
1 BHK Villa for Sale in Surat Surat,Super Area,432.0,Unfurnished,Ready to Move,Resale,Unknown,Unknown,2387.0,10.3,5.0
"3 BHK Apartment for Sale in Raj Abhishek City Homes, Sachin Surat",Super Area,1360.0,Resale,Ready to Move,2 out of 5,Furnished,Raj Abhishek City Homes,3309.0,45.0,2.0
"  Shop for Sale in Mahavir Market, Nr. Udhna Railway Station Surat",Super Area,153.0,Resale,Ready to Move,1 out of 4,Unknown,Unknown,10784.0,16.5,1.0
2 BHK Apartment for Sale in Katargam Surat,Carpet Area,950.0,Resale,Ready to Move,4 out of 5,Unfurnished,Freehold,3522.0,40.5,4.0
"2 BHK Apartment for Sale in Aksharkunj apartment, Udhna Surat",Carpet Area,675.0,Resale,Ready to Move,Ground out of 4,Semi-Furnished,South - East,2817.0,20.0,4.0
"2 BHK Apartment for Sale in Dhvani Royal Residency, Variav Surat",Carpet Area,714.0,Resale,Ready to Move,2 out of 5,Unfurnished,Dhvani Royal Residency,3747.0,28.0,2.0
  Shop for Sale in Adajan Surat,Carpet Area,209.0,Resale,Ready to Move,1 out of 3,1 Covered,Unknown,12500.0,30.0,1.0
1 BHK  House for Sale in Dindoli Surat,Super Area,500.0,Unfurnished,Ground out of 1,Resale,Unknown,Unknown,4702.0,23.5,5.0
2 BHK Builder Floor for Sale in Amroli Surat,Super Area,650.0,Resale,Ready to Move,2 out of 3,Unfurnished,1 Covered,2000.0,13.0,2.0
1 BHK Villa for Sale in Kamrej Surat,Carpet Area,54.0,Unfurnished,Ready to Move,New Property,North,"Garden/Park, Main Road",2881.0,14.0,5.0
2 BHK Apartment for Sale in Kamrej Surat,Carpet Area,562.0,Resale,Ready to Move,1 out of 3,Semi-Furnished,Unknown,3116.0,21.0,1.0
  Shop for Sale in Palsana Surat,Super Area,303.0,Resale,Ready to Move,Ground out of 5,10 Open,Unknown,4800.0,14.5,5.0
2 BHK Builder Floor for Sale in Kamrej Surat,Super Area,947.0,Resale,Ready to Move,4 out of 4,Furnished,Unknown,2323.0,22.0,4.0
"2 BHK Apartment for Sale in Silver Plaza Complex, Silver Plaza Flats Surat",Super Area,1100.0,Resale,Ready to Move,6 out of 7,Furnished,East,3364.0,37.0,6.0
"2 BHK Apartment for Sale in Sankheswar complex, Adajan Patiya Surat",Super Area,975.0,Resale,Ready to Move,7 out of 9,Semi-Furnished,East,2871.0,28.0,7.0
1 BHK Apartment for Sale in Katar Gam Surat,Super Area,413.0,Resale,Ready to Move,2 out of 5,Unfurnished,Unknown,4116.0,17.0,2.0
2 BHK Apartment for Sale in Sarthana Jakat Naka Surat,Super Area,900.0,Resale,Ready to Move,3 out of 14,Unfurnished,Unknown,4000.0,36.0,3.0
1 BHK Apartment for Sale in ganesh residency Surat,Carpet Area,431.0,Resale,Ready to Move,1 out of 13,Semi-Furnished,Unknown,4691.5,20.0,1.0
"1 BHK Apartment for Sale in Residency, Jahangirabad Surat",Carpet Area,731.0,Resale,Ready to Move,2 out of 5,Unfurnished,Residency,4691.5,20.0,2.0
1 BHK  House for Sale in Amroli Surat,Carpet Area,1250.0,Resale,Ready to Move,Ground out of 2,Semi-Furnished,East,125000.0,45.0,2.0
2 BHK Apartment for Sale in Radhakishan Flats Surat,Carpet Area,650.0,Resale,Ready to Move,4 out of 8,Unfurnished,North,2624.0,26.5,4.0
2 BHK Builder Floor for Sale in Kailash Nagar Surat,Super Area,800.0,Resale,Ready to Move,4 out of 5,Semi-Furnished,Unknown,1875.0,15.0,4.0
2 BHK  House for Sale in Udhana Surat,Carpet Area,1080.0,Resale,Ready to Move,1 out of 2,Unfurnished,North,3796.0,41.0,1.0
 Apartment for Sale in Bhestan Surat,Carpet Area,682.0,Unknown,Resale,Unknown,Unknown,Unknown,2961.0,34.8,5.0
"1 BHK Apartment for Sale in Karmabhoomi Complex, Adajan Surat",Super Area,895.0,Resale,Ready to Move,4 out of 4,Unfurnished,Main Road,2180.0,19.5,4.0
2 BHK Apartment for Sale in Palanpur Jakatnaka Surat,Super Area,950.0,Resale,Ready to Move,2 out of 5,Semi-Furnished,Main Road,3368.0,32.0,2.0
"  Shop for Sale in Fortune The Shopping Island, Pal Gam Surat",Super Area,460.0,Resale,Ready to Move,1 out of 5,Unknown,Unknown,7826.0,36.0,1.0
"2 BHK Apartment for Sale in JT Stuti Icon, Palanpur Surat",Super Area,1256.0,Resale,Ready to Move,13 out of 13,Furnished,East,3165.0,39.8,13.0
"2 BHK Apartment for Sale in Vinayak Enclave, Dindoli Surat",Carpet Area,897.0,Furnished,Ready to Move,2 out of 5,Vinayak Enclave,Unknown,4691.5,23.0,2.0
2 BHK Apartment for Sale in Thakordwar Appartment Surat,Carpet Area,800.0,Resale,Ready to Move,2 out of 4,Unfurnished,West,4000.0,40.0,2.0
1 BHK  House for Sale in Kosamba Surat,Super Area,612.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,2288.0,14.0,1.0
2 BHK Builder Floor for Sale in Anand Mahal Road Surat,Super Area,1089.0,Resale,Ready to Move,1 out of 4,Semi-Furnished,Unknown,3673.0,40.0,1.0
2 BHK Apartment for Sale in D G Point parvat partiya surat Surat,Carpet Area,1150.0,Resale,Ready to Move,6 out of 10,Unfurnished,North - West,4691.5,29.5,6.0
1 BHK Apartment for Sale in Bhagal Surat,Carpet Area,90.0,Resale,Ready to Move,1 out of 1,Unfurnished,East,16667.0,15.0,1.0
2 BHK Apartment for Sale in Nanpura Timliyawad Surat,Carpet Area,1150.0,Resale,Ready to Move,6 out of 7,Semi-Furnished,Unknown,3478.0,40.0,6.0
  Plot/Land for Sale in Narthan Surat,Plot Area,164.0,1,Resale,Congo,No,Unknown,18902.0,31.0,5.0
"  Shop for Sale in Nahata Raj Victoria, Pal Gam Surat",Super Area,420.0,Resale,Ready to Move,1 out of 1,Unknown,Unknown,8333.0,35.0,1.0
1 BHK  House for Sale in kadothara bardoli hayve sarvotam hotel ke samne gangadhara  Surat,Super Area,480.0,Resale,Ready to Move,Ground out of 2,Unfurnished,Unknown,4167.0,20.0,2.0
3 BHK Apartment for Sale in Swastik complex old kosad road Amroli Surat,Super Area,1260.0,Resale,Ready to Move,4 out of 5,Furnished,Unknown,2619.0,33.0,4.0
  Plot/Land for Sale in Maroli Surat,Plot Area,963.0,Yes,Resale,2,Unknown,Unknown,1038.0,10.0,2.0
1 BHK Apartment for Sale in Khadsad Surat,Carpet Area,623.0,Resale,Ready to Move,5 out of 5,Unfurnished,East,3981.0,25.0,5.0
2 BHK  House for Sale in Shiv Sagar residency Surat,Super Area,700.0,Resale,Ready to Move,Ground out of 1,Semi-Furnished,Unknown,3071.0,21.5,1.0
  Shop for Sale in Katargam Surat,Super Area,242.0,Resale,Ready to Move,Ground out of 4,"5 Covered,",Unknown,12397.0,30.0,4.0
1 BHK Apartment for Sale in GREEN HOUSE APARTMENT Surat,Carpet Area,675.0,Resale,Ready to Move,5 out of 8,Semi-Furnished,"Garden/Park, Main Road",3815.0,25.8,5.0
2 BHK Builder Floor for Sale in Karod Surat,Super Area,800.0,Resale,Ready to Move,2 out of 5,Semi-Furnished,Unknown,1250.0,10.0,2.0
1 BHK Penthouse for Sale in Hari Pura Surat,Carpet Area,1000.0,Resale,Ready to Move,5 out of 5,Semi-Furnished,East,2250.0,27.0,5.0
"2 BHK Apartment for Sale in Prayosha Home, Dindoli Surat",Carpet Area,1011.0,Resale,Ready to Move,2 out of 7,Unfurnished,East,4691.5,36.0,2.0
2 BHK Builder Floor for Sale in Vakaneda Chalthan Surat,Super Area,1105.0,Resale,Ready to Move,3 out of 5,Unfurnished,Unknown,1810.0,20.0,3.0
2 BHK Apartment for Sale in Sima Nagar Surat,Super Area,700.0,Resale,Ready to Move,Ground out of 1,Unfurnished,Unknown,2714.0,19.0,1.0
2 BHK Apartment for Sale in Athwa Surat,Super Area,1400.0,Resale,Ready to Move,10 out of 14,Unknown,Unknown,3571.0,50.0,10.0
2 BHK  House for Sale in Palanpur Jakatnaka Surat,Super Area,780.0,Unfurnished,Ready to Move,Resale,Unknown,Unknown,6154.0,48.0,5.0
4 BHK  House for Sale in Bhatar Surat,Carpet Area,800.0,Unfurnished,Ready to Move,Resale,West,Freehold,3571.0,45.0,5.0
2 BHK  House for Sale in Velanja Surat,Super Area,78.0,Unfurnished,Ready to Move,Resale,1 Open,Unknown,3989.0,28.0,5.0
2 BHK Apartment for Sale in Bagumara Surat,Carpet Area,1100.0,Resale,Ready to Move,3 out of 4,Unfurnished,Main Road,3760.0,47.0,3.0
  Plot/Land for Sale in Olpad Surat,Plot Area,122.0,Main Road,Freehold,Resale,Unknown,Unknown,9016.0,11.0,5.0
  Shop for Sale in Trikamnagar 1 Surat,Super Area,160.0,Resale,Ready to Move,1 out of 5,Unknown,Unknown,15000.0,24.0,1.0
2 BHK Apartment for Sale in Diwali Baugh Athwagate Surat Surat,Carpet Area,900.0,Resale,Ready to Move,3 out of 3,Unfurnished,Unknown,5000.0,50.0,3.0
1 BHK Builder Floor for Sale in Adajan Surat,Super Area,650.0,Resale,Ready to Move,4 out of 5,Semi-Furnished,Unknown,2308.0,15.0,4.0
2 BHK  House for Sale in Hari Pura Surat,Super Area,252.0,Resale,Ready to Move,Ground out of 3,Unfurnished,Unknown,9921.0,25.0,3.0
"2 BHK Apartment for Sale in Pan Sharanam, Jahangir Pura Surat",Carpet Area,824.0,Resale,Ready to Move,4 out of 5,Semi-Furnished,Pan Sharanam,2547.0,30.0,4.0
2 BHK Apartment for Sale in Kailash Nagar Surat,Super Area,1175.0,Resale,Ready to Move,2 out of 7,Furnished,East,3404.0,40.0,2.0
3 BHK Apartment for Sale in mahavir appartment Surat,Carpet Area,1327.0,Resale,Ready to Move,4 out of 9,Furnished,Unknown,2881.0,42.5,4.0
2 BHK Apartment for Sale in Devadh Surat,Super Area,1065.0,Resale,Ready to Move,3 out of 5,Semi-Furnished,North,2347.0,25.0,3.0
1 BHK  House for Sale in Dabholi Surat,Carpet Area,490.0,Unfurnished,Ready to Move,Resale,South -West,Main Road,4691.5,50.0,5.0
1 BHK Builder Floor for Sale in Kailash Nagar Surat,Super Area,700.0,Furnished,3 out of 4,Resale,Co-operative Society,Unknown,2571.0,18.0,5.0
2 BHK Apartment for Sale in shree bharti residency Surat,Carpet Area,800.0,Resale,Ready to Move,8 out of 12,Furnished,Unknown,3911.0,42.0,8.0
1 BHK Apartment for Sale in Punagam Surat,Carpet Area,400.0,Resale,Ready to Move,Ground out of 4,Semi-Furnished,Main Road,2750.0,11.0,4.0
"  Shop for Sale in Shivam Elephanta Business Hub, Katargam Surat",Super Area,455.0,Resale,Ready to Move,1 out of 8,Unknown,Unknown,8791.0,40.0,1.0
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1250.0,Resale,Ready to Move,4 out of 5,Unfurnished,Unknown,3360.0,42.0,4.0
"2 BHK  House for Sale in Shreenath society, nilgiri, udhna Surat",Super Area,770.0,Resale,Ready to Move,2 out of 2,Unfurnished,Unknown,3377.0,26.0,2.0
